group,metric,n,mean,std,rounds
sweep_mmap_10mbps,frame_rate_hz,3,859.267,198.969,853.2 663.4 1061.2
sweep_mmap_10mbps,cpu_percent,3,3.023,0.768,2.86 2.35 3.86
sweep_mmap_10mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_mmap_10mbps,tsf_loss_est_percent,3,86.723,22.996,60.17 100 100
sweep_mmap_10mbps,jitter_p50_us,3,489.333,7.506,489 497 482
sweep_mmap_10mbps,jitter_p95_us,3,1950.333,192.256,2037 2084 1730
sweep_mmap_10mbps,total_frames,3,51559.333,11938.102,51198 39806 63674
sweep_mmap_10mbps,duration_s,3,60.0,0.0,60 60 60
sweep_mmap_1mbps,frame_rate_hz,3,103.1,1.375,104.6 101.9 102.8
sweep_mmap_1mbps,cpu_percent,3,0.38,0.01,0.39 0.37 0.38
sweep_mmap_1mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_mmap_1mbps,tsf_loss_est_percent,3,94.597,0.076,94.51 94.63 94.65
sweep_mmap_1mbps,jitter_p50_us,3,539.0,7.0,532 546 539
sweep_mmap_1mbps,jitter_p95_us,3,89283.0,146.523,89138 89280 89431
sweep_mmap_1mbps,total_frames,3,6189.333,81.07,6278 6119 6171
sweep_mmap_1mbps,duration_s,3,60.03,0.03,60 60.06 60.03
sweep_mmap_20mbps,frame_rate_hz,3,1820.4,13.499,1835.5 1816.2 1809.5
sweep_mmap_20mbps,cpu_percent,3,6.92,0.219,7.16 6.73 6.87
sweep_mmap_20mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_mmap_20mbps,tsf_loss_est_percent,3,100.0,0.0,100 100 100
sweep_mmap_20mbps,jitter_p50_us,3,401.0,0.0,401 401 401
sweep_mmap_20mbps,jitter_p95_us,3,472.667,5.774,476 476 466
sweep_mmap_20mbps,total_frames,3,109225.667,807.719,110129 108975 108573
sweep_mmap_20mbps,duration_s,3,60.0,0.0,60 60 60
sweep_mmap_5mbps,frame_rate_hz,3,583.033,72.566,550.3 666.2 532.6
sweep_mmap_5mbps,cpu_percent,3,2.017,0.257,1.91 2.31 1.83
sweep_mmap_5mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_mmap_5mbps,tsf_loss_est_percent,3,71.72,3.319,72.44 68.1 74.62
sweep_mmap_5mbps,jitter_p50_us,3,505.0,8.544,514 504 497
sweep_mmap_5mbps,jitter_p95_us,3,3749.0,742.402,3885 2948 4414
sweep_mmap_5mbps,total_frames,3,34989.667,4351.064,33037 39975 31957
sweep_mmap_5mbps,duration_s,3,60.01,0.017,60.03 60 60
