group,metric,n,mean,std,rounds
sweep_base_10mbps,frame_rate_hz,3,853.467,94.132,905.7 909.9 744.8
sweep_base_10mbps,cpu_percent,3,11.06,0.729,11.43 11.53 10.22
sweep_base_10mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_base_10mbps,tsf_loss_est_percent,3,70.05,3.126,68.26 68.23 73.66
sweep_base_10mbps,jitter_p50_us,3,341.0,0.0,341 341 341
sweep_base_10mbps,jitter_p95_us,3,619.667,35.572,579 635 645
sweep_base_10mbps,total_frames,3,51600.333,5665.724,54778 54964 45059
sweep_base_10mbps,duration_s,3,60.0,0.0,60 60 60
sweep_base_1mbps,frame_rate_hz,3,104.567,2.54,103.1 103.1 107.5
sweep_base_1mbps,cpu_percent,3,5.74,0.036,5.7 5.77 5.75
sweep_base_1mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_base_1mbps,tsf_loss_est_percent,3,96.38,0.069,96.42 96.42 96.3
sweep_base_1mbps,jitter_p50_us,3,341.0,0.0,341 341 341
sweep_base_1mbps,jitter_p95_us,3,90069.667,483.606,90559 90058 89592
sweep_base_1mbps,total_frames,3,6307.0,122.98,6237 6235 6449
sweep_base_1mbps,duration_s,3,60.0,0.0,60 60 60
sweep_base_20mbps,frame_rate_hz,3,1788.7,9.489,1792.5 1795.7 1777.9
sweep_base_20mbps,cpu_percent,3,17.693,0.129,17.73 17.8 17.55
sweep_base_20mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_base_20mbps,tsf_loss_est_percent,3,40.557,1.925,38.36 41.36 41.95
sweep_base_20mbps,jitter_p50_us,3,325.0,13.856,341 317 317
sweep_base_20mbps,jitter_p95_us,3,554.333,9.018,563 555 545
sweep_base_20mbps,total_frames,3,107686.333,393.275,107561 108127 107371
sweep_base_20mbps,duration_s,3,60.0,0.0,60 60 60
sweep_base_5mbps,frame_rate_hz,3,474.633,9.168,485.2 469.9 468.8
sweep_base_5mbps,cpu_percent,3,8.563,0.093,8.67 8.52 8.5
sweep_base_5mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_base_5mbps,tsf_loss_est_percent,3,83.563,0.329,83.21 83.62 83.86
sweep_base_5mbps,jitter_p50_us,3,341.0,0.0,341 341 341
sweep_base_5mbps,jitter_p95_us,3,726.0,11.358,731 713 734
sweep_base_5mbps,total_frames,3,28555.0,505.892,29117 28412 28136
sweep_base_5mbps,duration_s,3,60.0,0.0,60 60 60
