group,metric,n,mean,std,rounds
sweep_mmap_10mbps,frame_rate_hz,3,836.633,168.313,991.8 860.4 657.7
sweep_mmap_10mbps,cpu_percent,3,9.6,1.934,11.36 9.91 7.53
sweep_mmap_10mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_mmap_10mbps,tsf_loss_est_percent,3,100.0,0.0,100 100 100
sweep_mmap_10mbps,jitter_p50_us,3,341.0,0.0,341 341 341
sweep_mmap_10mbps,jitter_p95_us,3,600.667,58.389,564 668 570
sweep_mmap_10mbps,total_frames,3,50224.333,10110.449,59559 51629 39485
sweep_mmap_10mbps,duration_s,3,60.03,0.026,60.05 60 60.04
sweep_mmap_1mbps,frame_rate_hz,3,111.567,5.052,117.4 108.6 108.7
sweep_mmap_1mbps,cpu_percent,3,1.49,0.078,1.58 1.45 1.44
sweep_mmap_1mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_mmap_1mbps,tsf_loss_est_percent,3,96.317,0.231,96.05 96.45 96.45
sweep_mmap_1mbps,jitter_p50_us,3,341.0,0.0,341 341 341
sweep_mmap_1mbps,jitter_p95_us,3,89110.667,1995.172,86807 90239 90286
sweep_mmap_1mbps,total_frames,3,6697.333,300.224,7044 6523 6525
sweep_mmap_1mbps,duration_s,3,60.04,0.02,60.02 60.06 60.04
sweep_mmap_20mbps,frame_rate_hz,3,2084.3,30.188,2076.9 2117.5 2058.5
sweep_mmap_20mbps,cpu_percent,3,23.58,0.524,23.72 24.02 23
sweep_mmap_20mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_mmap_20mbps,tsf_loss_est_percent,3,100.0,0.0,100 100 100
sweep_mmap_20mbps,jitter_p50_us,3,341.333,0.577,341 342 341
sweep_mmap_20mbps,jitter_p95_us,3,567.0,20.785,579 579 543
sweep_mmap_20mbps,total_frames,3,125068.0,1801.353,124617 127052 123535
sweep_mmap_20mbps,duration_s,3,60.003,0.006,60 60 60.01
sweep_mmap_5mbps,frame_rate_hz,3,516.233,4.225,520.7 512.3 515.7
sweep_mmap_5mbps,cpu_percent,3,6.127,0.021,6.15 6.11 6.12
sweep_mmap_5mbps,loss_percent,3,0.0,0.0,0 0 0
sweep_mmap_5mbps,tsf_loss_est_percent,3,100.0,0.0,100 100 100
sweep_mmap_5mbps,jitter_p50_us,3,341.0,0.0,341 341 341
sweep_mmap_5mbps,jitter_p95_us,3,584.333,4.619,587 579 587
sweep_mmap_5mbps,total_frames,3,30996.333,258.867,31273 30760 30956
sweep_mmap_5mbps,duration_s,3,60.043,0.015,60.06 60.04 60.03
